# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
1.891941442512868e+01,1.815520943533276e-03,1.570678535347907e-03,1.097681854660388e-03,3.075292523399832e-05,5.209571029990912e-06,9.962843039540306e-07,6.721016479305834e-07,1.571916613380958e-07,2.605722771073485e-07,0.000000000000000e+00
1.927186401188960e+01,1.883351686171204e-03,1.633397977319493e-03,1.091510158894966e-03,3.302934186521184e-05,5.209571029990912e-06,9.773388230118456e-07,6.580876998131207e-07,1.538137465276119e-07,2.693368107683121e-07,0.000000000000000e+00
1.963087937856404e+01,1.952870083992914e-03,1.696519401479470e-03,1.148267436150338e-03,3.542598321204061e-05,5.209571029990912e-06,9.587403456514714e-07,6.443421829192780e-07,1.505016154196532e-07,2.778057862400799e-07,0.000000000000000e+00
1.999658283900194e+01,2.023828457112283e-03,1.760034847486592e-03,1.142344136047439e-03,3.794306455851280e-05,5.209571029990912e-06,9.404825354570871e-07,6.308601698898701e-07,1.472540360984644e-07,2.861255577021055e-07,0.000000000000000e+00
2.036909898563680e+01,2.095923794684682e-03,1.823915726701487e-03,1.136541635867271e-03,4.056573829992341e-05,5.209571029990912e-06,9.225591720735244e-07,6.176368231865015e-07,1.440698315223784e-07,2.948432620791949e-07,0.000000000000000e+00
2.074855473193330e+01,2.168925780823832e-03,1.888174783502581e-03,1.130857716413233e-03,4.329187621401635e-05,5.209571029990912e-06,9.049641490869546e-07,6.046673934451593e-07,1.409478270864987e-07,3.032740297764957e-07,0.000000000000000e+00
2.113507935562585e+01,2.243025786126305e-03,1.952788946019421e-03,1.176764198172026e-03,4.612313438937141e-05,5.209571029990912e-06,8.876914719443905e-07,5.919472178599025e-07,1.378868795020506e-07,3.111506138240497e-07,0.000000000000000e+00
2.152880454276250e+01,2.318529856760430e-03,2.017821435595599e-03,1.171310941609680e-03,4.906134276727583e-05,5.209571029990912e-06,8.707352559112970e-07,5.794717185961089e-07,1.348858599615595e-07,3.188065513537650e-07,0.000000000000000e+00
2.192986443256941e+01,2.395440503912708e-03,2.083171026137787e-03,1.165969835305747e-03,5.210527937600316e-05,5.209571029990912e-06,8.540897240666089e-07,5.672364012327292e-07,1.319436630598215e-07,3.259903679706009e-07,0.000000000000000e+00
2.233839566315106e+01,2.473698226251241e-03,2.149430653329222e-03,1.160738804474506e-03,5.523689942074934e-05,5.209571029990912e-06,8.377492053344814e-07,5.552368532330354e-07,1.290592021682651e-07,3.325776972195580e-07,0.000000000000000e+00
2.275453741804187e+01,2.553221184550181e-03,2.218169819154825e-03,1.193309934449364e-03,5.845037229929705e-05,5.209571029990912e-06,8.217081325520907e-07,5.434687424433262e-07,1.262314126798211e-07,3.389665854879019e-07,0.000000000000000e+00
2.317843147362495e+01,2.634240113821549e-03,2.292457760321090e-03,1.188292959413082e-03,6.174672467769708e-05,5.209571029990912e-06,8.059610405728387e-07,5.319278156190961e-07,1.234592494805967e-07,3.454882503632537e-07,0.000000000000000e+00
2.361022224743427e+01,2.716965503552799e-03,2.371158292249804e-03,1.183380048775414e-03,6.512850470574892e-05,5.209571029990912e-06,7.905025644043047e-07,5.206098969781599e-07,1.207416761010592e-07,8.934154162205600e-07,0.000000000000000e+00
2.405005684735663e+01,2.801122346998909e-03,2.455433318126950e-03,1.178569255762403e-03,6.859550578900287e-05,5.209571029990912e-06,7.753274373803169e-07,5.095108867802454e-07,1.180776974566036e-07,8.993037807603993e-07,0.000000000000000e+00
2.449808512175022e+01,2.886587595612717e-03,2.543624230759850e-03,1.197919777231144e-03,7.213120496446434e-05,5.209571029990912e-06,7.604304893665176e-07,4.986267599325704e-07,1.154663102049722e-07,9.046825072168066e-07,0.000000000000000e+00
2.495445971049683e+01,2.973040922750205e-03,2.592510459163548e-03,1.193307532595693e-03,7.573226438428149e-05,5.209571029990912e-06,7.458066449988099e-07,4.879535646209357e-07,1.129065529320004e-07,9.097713973736394e-07,0.000000000000000e+00
2.541933609700512e+01,3.059872348411485e-03,2.615368013402323e-03,1.188791770161730e-03,7.940007492783448e-05,5.209571029990912e-06,7.314509219540885e-07,4.774874209658647e-07,1.103974540770937e-07,9.147929623868717e-07,0.000000000000000e+00
