# energy,pi_pi_pi0,pi_pi,mu_mu
2.689773842238750e+00,1.758832296794085e-03,4.219290742316570e-05,2.431241407304970e-07
2.739881612906231e+00,1.819983715226728e-03,4.358052152789667e-05,2.507264540123573e-07
2.790922840744660e+00,1.883150658726941e-03,4.500898400791025e-05,2.585269518818778e-07
2.842914915118568e+00,1.948392747458259e-03,4.647918573467174e-05,2.665280938825335e-07
2.895875549338788e+00,2.015770922759458e-03,4.799201434486146e-05,2.747321477638309e-07
2.949822786697250e+00,2.085347444399636e-03,4.954835202718159e-05,2.831411660832444e-07
3.004775006614190e+00,2.157185884745121e-03,5.114907310685414e-05,2.917569610067451e-07
3.060750930899886e+00,2.231351119552136e-03,5.279504141342298e-05,3.005810771877134e-07
3.117769630133039e+00,2.307909315078695e-03,5.448710741654466e-05,3.096147625965212e-07
3.175850530157970e+00,2.386927911187468e-03,5.622610511346967e-05,3.188589371651040e-07
3.235013418702869e+00,2.468475600088219e-03,5.801284865087159e-05,3.283141591024129e-07
3.295278452121317e+00,2.552622300343725e-03,5.984812866257275e-05,3.379805887276793e-07
3.356666162259414e+00,2.639439125736936e-03,6.173270830354117e-05,3.478579496589523e-07
3.419197463450816e+00,2.728998348569175e-03,6.366731895928449e-05,3.579454871843081e-07
3.482893659642102e+00,2.821373356929601e-03,6.565265560844499e-05,3.682419236324788e-07
3.547776451650859e+00,2.916638605444493e-03,6.768937181499531e-05,3.787454105483563e-07
3.613867944558995e+00,3.014869558981489e-03,6.977807432494661e-05,3.894534774668579e-07
3.681190655243773e+00,3.116142628748155e-03,7.191931724090165e-05,4.003629770659585e-07
3.749767520049144e+00,3.220535100186388e-03,7.411359574611126e-05,4.114700264662500e-07
3.819621902599986e+00,3.328125052023848e-03,7.636133934791616e-05,4.227699444301585e-07
3.890777601761916e+00,3.438991265800798e-03,7.866290460857488e-05,4.342571841988434e-07
3.963258859749388e+00,3.553213125145191e-03,8.101856732948084e-05,4.459252616888342e-07
4.037090370384830e+00,3.670870504020539e-03,8.342851415265600e-05,4.577666787535116e-07
4.112297287511652e+00,3.792043643119700e-03,8.589283354116416e-05,4.697728411965934e-07
4.188905233563961e+00,3.916813013523149e-03,8.841150609770909e-05,4.819339712057878e-07
4.266940308295945e+00,4.045259166682404e-03,9.098439417816032e-05,4.942390138546327e-07
4.346429097673854e+00,4.177462569727670e-03,9.361123075407819e-05,5.066755372992053e-07
4.427398682933646e+00,4.313503425033468e-03,9.629160747547624e-05,5.192296262738129e-07
4.509876649807359e+00,4.453461472906609e-03,9.902496188205662e-05,5.318857684658181e-07
4.593891097921365e+00,4.597415776187215e-03,1.018105637079751e-04,5.446267333244384e-07
4.679470650369699e+00,4.745444485475319e-03,1.046475002218176e-04,5.574334428314961e-07
